"Subject" "Activity" "Variable" "Value"
1 "LAYING" "tBodyAccMagMEAN" -0.8419291525
1 "SITTING" "tBodyAccMagMEAN" -0.948536786170213
1 "STANDING" "tBodyAccMagMEAN" -0.984278207358491
1 "WALKING" "tBodyAccMagMEAN" -0.136971176556842
1 "WALKING_DOWNSTAIRS" "tBodyAccMagMEAN" 0.0271882914106122
1 "WALKING_UPSTAIRS" "tBodyAccMagMEAN" -0.129927630735849
2 "LAYING" "tBodyAccMagMEAN" -0.977435485208333
2 "SITTING" "tBodyAccMagMEAN" -0.967893623913043
2 "STANDING" "tBodyAccMagMEAN" -0.965875181296296
2 "WALKING" "tBodyAccMagMEAN" -0.290407593728814
2 "WALKING_DOWNSTAIRS" "tBodyAccMagMEAN" 0.0899511204978723
2 "WALKING_UPSTAIRS" "tBodyAccMagMEAN" -0.107322679520833
3 "LAYING" "tBodyAccMagMEAN" -0.972791346129032
3 "SITTING" "tBodyAccMagMEAN" -0.895383350192308
3 "STANDING" "tBodyAccMagMEAN" -0.925430819016393
3 "WALKING" "tBodyAccMagMEAN" -0.254690333275862
3 "WALKING_DOWNSTAIRS" "tBodyAccMagMEAN" -0.0628126118283674
3 "WALKING_UPSTAIRS" "tBodyAccMagMEAN" -0.184014895
4 "LAYING" "tBodyAccMagMEAN" -0.954557603148148
4 "SITTING" "tBodyAccMagMEAN" -0.93569482
4 "STANDING" "tBodyAccMagMEAN" -0.906478051785714
4 "WALKING" "tBodyAccMagMEAN" -0.312050574166667
4 "WALKING_DOWNSTAIRS" "tBodyAccMagMEAN" -0.0491616726733333
4 "WALKING_UPSTAIRS" "tBodyAccMagMEAN" -0.153703935357692
5 "LAYING" "tBodyAccMagMEAN" -0.966777882884615
5 "SITTING" "tBodyAccMagMEAN" -0.9379783225
5 "STANDING" "tBodyAccMagMEAN" -0.906104701071429
5 "WALKING" "tBodyAccMagMEAN" -0.158338674394643
5 "WALKING_DOWNSTAIRS" "tBodyAccMagMEAN" 0.211138853638298
